Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Harapan Lama Sekolah (Tahun)
Kota Gorontalo,14.59
SULAWESI BARAT,12.89
Majene,13.72
Polewali Mandar,13.5
Mamasa,12.6
Mamuju,13.29
Mamuju Utara / Pasangkayu,12.09
Mamuju Tengah,12.68
MALUKU,14.09
Maluku Tenggara Barat / Kepulauan Tanimbar,12.34
Maluku Tenggara,12.91
Maluku Tengah,14.67
Buru,13.24
Kepulauan Aru,12.37
Seram Bagian Barat,13.7
Seram Bagian Timur,12.92
Maluku Barat Daya,12.71
Buru Selatan,12.85
Kota Ambon,16.08
Kota Tual,14.02
MALUKU UTARA,13.75
Halmahera Barat,13.25
Halmahera Tengah,13.52
Kepulauan Sula,12.98
Halmahera Selatan,13.04
Halmahera Utara,13.69
Halmahera Timur,12.89
Pulau Morotai,13.02
Pulau Taliabu,12.88
Kota Ternate,15.92
Kota Tidore Kepulauan,14.49
PAPUA BARAT,13.17
Fakfak,14.79
Kaimana,12.51
Teluk Wondama,11.91
Teluk Bintuni,12.62
Manokwari,13.79
Sorong Selatan,-
Sorong,-
Raja Ampat,-
Tambrauw,-
Maybrat,-
Manokwari Selatan,12.78
Pegunungan Arfak,11.8
Kota Sorong,-
PAPUA BARAT DAYA,13.88
Raja Ampat,12.12
Sorong,14.08
Sorong Selatan,13.29
Maybrat,13.51
Tambrauw,12.45
Kota Sorong,14.43
PAPUA,13.72
Merauke,-
Jayawijaya,-
Jayapura,14.59
Nabire,-
Kepulauan Yapen,12.82
Biak Numfor,14.24
Paniai,-
Puncak Jaya,-
Mimika,-
Boven Digoel,-
Mappi,-
Asmat,-
Yahukimo,-
Pegunungan Bintang,-
Tolikara,-
Sarmi,12.38
Keerom,12.52
Waropen,12.85
Supiori,13.2
Mamberamo Raya,12.04
Nduga,-
Lanny Jaya,-
Mamberamo Tengah,-
Yalimo,-
Puncak,-
Dogiyai,-
Intan Jaya,-
Deiyai,-
Kota Jayapura,15.27
PAPUA SELATAN,12.67
Merauke,14.48
Boven Digoel,11.67
Mappi,11.29
Asmat,9.71
PAPUA TENGAH,9.63
Mimika,13.16
Dogiyai,10.63
Deiyai,9.86
Nabire,12.82
Paniai,10.54
Intan Jaya,7.7
Puncak,5.6
Puncak Jaya,7.53
PAPUA PEGUNUNGAN,9.97
Nduga,4.45
Jayawijaya,12.85
Lanny Jaya,9.44
Tolikara,9.03
Mamberamo Tengah,9.78
Yalimo,9.8
Yahukimo,8.05
Pegunungan Bintang,7.01
INDONESIA,13.21
